Website,School,City and State,Type,Conference
https://www.ehc.edu/,Emory & Henry College,"Emory, Virginia",Private,South Atlantic Conference
https://www.endicott.edu/,Endicott College,"Beverly, Massachusetts",Private,Commonwealth Coast Football
https://www.eureka.edu/,Eureka College,"Eureka, Illinois",Private,Upper Midwest Athletic Conference
https://www.fdu.edu/,Fairleigh Dickinson University – College at Florham,"Madison, New Jersey",Private,Northeast Conference
https://www.ferrum.edu/,Ferrum College,"Ferrum, Virginia",Private,Old Dominion Athletic Conference
https://www.finlandia.edu/,Finlandia University,"Hancock, Michigan",Private,Wisconsin Intercollegiate Athletic
https://www.fitchburgstate.edu/,Fitchburg State University,"Fitchburg, Massachusetts",Public,Massachusetts State Collegiate Athletic Conference
https://www.fontbonne.edu/,Fontbonne University,"St. Louis, Missouri",Private,St. Louis Intercollegiate Athletic Conference
https://www.framingham.edu/,Framingham State University,"Framingham, Massachusetts",Public,Massachusetts State Collegiate Athletic Conference
https://www.fandm.edu/,Franklin & Marshall College,"Lancaster, Pennsylvania",Private,Centennial Conference
https://franklincollege.edu/,Franklin College,"Franklin, Indiana",Private,Heartland Collegiate Athletic Conference
https://gallaudet.edu/,Gallaudet University,"Washington, District Of Columbia",Private,United East
https://www.geneva.edu/,Geneva College,"Beaver Falls, Pennsylvania",Private,Presidents' Athletic Conference
https://www.georgefox.edu/,George Fox University,"Newberg, Oregon",Private,Northwest Conference
https://www.gettysburg.edu/,Gettysburg College,"Gettysburg, Pennsylvania",Private,Centennial Conference
https://www.greensboro.edu/,Greensboro College,"Greensboro, North Carolina",Private,USA South Athletic Conference
https://www.greenville.edu/,Greenville University,"Greenville, Illinois",Private,St. Louis Intercollegiate Athletic Conference
https://www.grinnell.edu/,Grinnell College,"Grinnell, Iowa",Private,Midwest Conference
https://www.gcc.edu/,Grove City College,"Grove City, Pennsylvania",Private,Presidents' Athletic Conference
https://www.guilford.edu/,Guilford College,"Greensboro, North Carolina",Private,Old Dominion Athletic Conference
https://gustavus.edu/,Gustavus Adolphus College,"Saint Peter, Minnesota",Private,Minnesota Intercollegiate Athletic Conference
https://www.hamilton.edu/,Hamilton College,"Clinton, New York",Private,New England Small College Athletic Conference
https://www.hamline.edu/,Hamline University,"Saint Paul, Minnesota",Private,Minnesota Intercollegiate Athletic Conference
https://www.hsc.edu/,Hampden-Sydney College,"Hampden Sydney, Virginia",Private,Old Dominion Athletic Conference
https://www.hanover.edu/,Hanover College,"Hanover, Indiana",Private,Heartland Collegiate Athletic Conference
https://www.hsutx.edu/,Hardin-Simmons University,"Abilene, Texas",Private,American Southwest Conference
https://www.hartwick.edu/,Hartwick College,"Oneonta, New York",Private,Empire 8 Athletic Conference
https://www.heidelberg.edu/,Heidelberg University,"Tiffin, Ohio",Private,Ohio Athletic Conference
https://www.hendrix.edu/,Hendrix College,"Conway, Arkansas",Private,Southern Athletic Association
https://www.hilbert.edu/,Hilbert College,"Hamburg, New York",Private,Allegheny Mountain Collegiate Conference
https://www.hiram.edu/,Hiram College,"Hiram, Ohio",Private,North Coast Athletic Conference
https://www.hws.edu/,Hobart & William Smith College,"Geneva, New York",Private,Liberty League (Division III)
https://hope.edu/admissions/,Hope College,"Holland, Michigan",Private,Michigan Intercollegiate Athletic Association
https://www.hputx.edu/,Howard Payne University,"Brownwood, Texas",Private,American Southwest Conference
https://www.huntingdon.edu/,Huntingdon College,"Montgomery, Alabama",Private,USA South Athletic Conference
https://www.husson.edu/,Husson University,"Bangor, Maine",Private,North Atlantic
https://www.ic.edu/,Illinois College,"Jacksonville, Illinois",Private,Midwest Conference
https://www.iwu.edu/,Illinois Wesleyan University,"Bloomington, Illinois",Private,College Conference of Illinois and Wisconsin
https://www.ithaca.edu/,Ithaca College,"Ithaca, New York",Private,Liberty League
https://www.jcu.edu/,John Carroll University,"University Heights, Ohio",Private,Ohio Athletic Conference
https://www.jhu.edu/,Johns Hopkins University,"Baltimore, Maryland",Private,Centennial Conference
https://www.juniata.edu/,Juniata College,"Huntingdon, Pennsylvania",Private,Centennial Conference
https://www.kzoo.edu/,Kalamazoo College,"Kalamazoo, Michigan",Private,Michigan Intercollegiate Athletic Association
https://www.kean.edu/,Kean University,"Union, New Jersey",Public,New Jersey Athletic Conference
https://www.kenyon.edu/,Kenyon College,"Gambier, Ohio",Private,North Coast Athletic Conference
https://www.keystone.edu/,Keystone College,"La Plume, Pennsylvania",Private,Colonial States Athletic Conference
https://www.kings.edu/,King's College – Pennsylvania,"Wilkes-Barre, Pennsylvania",Private,Middle Atlantic Freedom
https://www.knox.edu/,Knox College,"Galesburg, Illinois",Private,Midwest Conference
https://www.lagrange.edu/,LaGrange College,"LaGrange, Georgia",Private,USA South Athletic Conference
https://www.lakeforest.edu/,Lake Forest College,"Lake Forest, Illinois",Private,Midwest Conference
https://lakeland.edu/,Lakeland University,"Plymouth, Wisconsin",Private,Northern Athletics Collegiate Conference
https://www.lawrence.edu/,Lawrence University,"Appleton, Wisconsin",Private,Midwest Conference
https://www.lvc.edu/,Lebanon Valley College,"Annville, Pennsylvania",Private,Middle Atlantic Conferences
https://www.lclark.edu/,Lewis & Clark College,"Portland, Oregon",Private,Northwest Conference
https://www.linfield.edu/,Linfield University,"McMinnville, Oregon",Private,Northwest Conference
