FCS/FBS,Name of School,Conference,Private/Public,Camp link,Website,Adress
NCAA D1 FBS,United States Naval Academy,Collegiate Water Polo Association (Division I),Public,https://navysports.evenue.net/cgi-bin/ncommerce3/SEGetEventList?groupCode=SC-FB&linkID=navy&shopperContext=&caller=&appCode=&_ga=2.223194139.186617650.1679510248-1805301346.1679510248#__utma=186133302.1587240566.1409160680.1425332944.1425335976.494&__utmb=186133302.1.10.1425335976&__utmc=186133302&__utmx=-&__utmz=186133302.1425060259.484.32.utmcsr=ev12.evenue.net|utmccn=(referral)|utmcmd=referral|utmcct=/cgi-bin/ncommerce3/EVExecMacro&__utmv=-&__utmk=185108393,https://www.usna.edu/homepage.php,"Annapolis, Maryland"
NCAA D1 FBS,University of Akron,Mid-American Conference,Public,https://camps.jumpforward.com/tomarthfootballcamps,https://www.uakron.edu/,"Akron, Ohio"
NCAA D1 FBS,University of Alabama,Southeastern Conference,Public,https://www.nicksabanfootballcamp.com/high-school.cfm,https://www.ua.edu/,"Tuscaloosa, Alabama"
NCAA D1 FBS,University of Alabama – Birmingham,Conference USA,Public,https://www.uabfootballcamp.com/,https://www.uab.edu/home/,"Birmingham, Alabama"
NCAA D1 FBS,University of Arizona,Pacific-12 Conference,Public,http://www.coachfischfootballcamp.com/About%20Us,https://www.arizona.edu/,"Tucson, Arizona"
NCAA D1 FBS,University of Arkansas,Southeastern Conference,Public,https://www.arkansasrazorbackfootballcamps.com/,https://www.uark.edu/,"Fayetteville, Arkansas"
NCAA D1 FCS,University of Arkansas at Pine Bluff,Southwestern Athletic Conference,Public,https://uapblionsroar.com/sports/2019/6/17/cedric-thomas-football-camp,http://www.uapb.edu/,"Pine Bluff, Arkansas"
NCAA D1 FCS,University of California – Berkeley,Pacific-12 Conference,Public,https://www.calsportscamps.com/football/cal-football-camps,https://www.berkeley.edu/,"Berkeley, California"
NCAA D1 FCS,University of California – Davis,Big West Conference,Public,https://ucdavisfootballcamps.totalcamps.com/About%20Us,https://www.ucdavis.edu/,"Davis, California"
NCAA D1 FBS,University of California – Los Angeles – UCLA,Pacific-12 Conference,Public,https://uclabruins.com/sports/2013/4/17/208268004.aspx,https://www.ucla.edu/,"Los Angeles, California"
NCAA D1 FCS,University of Central Arkansas,Southland Conference,Public,https://www.ucabearsfootball.com/one-day-camps.cfm,https://uca.edu/,"Conway, Arkansas"
NCAA D1 FBS,University of Central Florida,American Athletic Conference,Public,https://www.ucffootballcamps.com/,https://www.ucf.edu/,"Orlando, Florida"
NCAA D1 FBS,University of Cincinnati,American Athletic Conference,Public,https://www.ucfbcamps.com/,https://www.uc.edu/,"Cincinnati, Ohio"
NCAA D1 FBS,University of Colorado – Boulder,Pacific-12 Conference,Public,https://cubuffs.com/sports/2006/1/17/225865.aspx,https://www.colorado.edu/,"Boulder, Colorado"
NCAA D1 FBS,University of Connecticut,Big East Conference,Public,https://teampages.com/clubs/7124,https://uconn.edu/,"Storrs, Connecticut"
NCAA D1 FCS,University of Dayton,Pioneer Football League,Private,https://www.daytonflyersfootball.com/,https://udayton.edu/,"Dayton, Ohio"
NCAA D1 FCS,University of Delaware,Colonial Athletic Association,Public,https://www.delawarefootballcamp.com/,https://www.udel.edu/,"Newark, Delaware"
NCAA D1 FBS,University of Florida,Southeastern Conference,Public,https://floridagators.com/sports/2023/3/21/football-camps.aspx,https://www.ufl.edu/,"Gainesville, Florida"
NCAA D1 FBS,University of Georgia,Southeastern Conference,Public,http://www.georgiadogsmedia.com/KirbySmartCamp/,https://www.uga.edu/,"Athens, Georgia"
NCAA D1 FBS,University of Hawaii at Manoa,Mountain West Conference,Public,https://rainbowwarriorfootballcamp.totalcamps.com/About%20Us,https://manoa.hawaii.edu/,"Honolulu, Hawaii"
NCAA D1 FBS,University of Houston,American Athletic Conference,Public,https://uhcougars.com/sports/2018/6/12/camps-hou-camps-html.aspx,https://uh.edu/,"Houston, Texas"
NCAA D1 FCS,University of Idaho,Sun Belt Conference,Public,https://govandals.com/sports/2022/4/8/vandal-football-camps.aspx,https://www.uidaho.edu/,"Moscow, Idaho"
NCAA D1 FBS,University of Illinois,Big Ten Conference,Public,https://fightingillini.com/sports/2015/3/24/football_camps.aspx,https://illinois.edu/,"Champaign, Illinois"
NCAA D1 FBS,University of Iowa,Big Ten Conference,Public,https://camps.athletics.uiowa.edu/football,https://admissions.uiowa.edu/,"Iowa City, Iowa"
NCAA D1 FBS,University of Kansas,Big 12 Conference,Public,https://www.kufootballcamps.com/,https://www.ku.edu/,"Lawrence, Kansas"
NCAA D1 FBS,University of Kentucky,Southeastern Conference,Public,http://www.ukfbcamp.com/,https://www.uky.edu/,"Lexington, Kentucky"
NCAA D1 FBS,University of Louisiana,Sun Belt Conference,Public,https://ragincajunsfootballcamps.totalcamps.com/About%20Us,https://louisiana.edu/,"Lafayette, Louisiana"
NCAA D1 FBS,University of Louisiana – Monroe,Sun Belt Conference,Public,https://camps.jumpforward.com/ulmfootballshowcase,https://www.ulm.edu/,"Monroe, Louisiana"
NCAA D1 FBS,University of Louisville,Atlantic Coast Conference,Public,http://www.louisvillefootballcamps.com/About%20Us,https://umaine.edu/,"Louisville, Kentucky"
NCAA D1 FCS,University of Maine,Atlantic 10 Conference,Public,https://goblackbears.com/sports/2020/3/16/football-camps,https://umaine.edu/,"Orono, Maine"
NCAA D1 FBS,University of Maryland,Big Ten Conference,Public,https://www.coachlockscamps.com/,https://www.umd.edu/,"College Park, Maryland"
NCAA D1 FBS,University of Massachusetts – Amherst,Atlantic 10 Conference,Public,https://umassathletics.com/news/2012/3/23/UMass_Football_Announces_Summer_Camp_Dates,https://www.umass.edu/,"Amherst, Massachusetts"
NCAA D1 FBS,University of Memphis,American Athletic Conference,Public,https://tigerfootballcamps.totalcamps.com/About%20Us,https://www.memphis.edu/,"Memphis, Tennessee"
NCAA D1 FBS,University of Miami,Atlantic Coast Conference,Private,https://mariocristobalfootballcamps.totalcamps.com/About%20Us,https://welcome.miami.edu/,"Coral Gables, Florida"
NCAA D1 FBS,University of Michigan,Big Ten Conference,Public,https://camps.mgoblue.com/football/,https://umich.edu/,"Ann Arbor, Michigan"
NCAA D1 FBS,University of Minnesota,Big Ten Conference,Public,https://camps.jumpforward.com/PJFleckRTBcamps,https://twin-cities.umn.edu/,"Minneapolis, Minnesota"
NCAA D1 FBS,University of Mississippi,Southeastern Conference,Public,https://football.olemisssportscamps.com/,https://olemiss.edu/,"University, Mississippi"
NCAA D1 FBS,University of Missouri,Southeastern Conference,Public,https://www.missourifootballcamps.com/,https://missouri.edu/,"Columbia, Missouri"
NCAA D1 FCS,University of Montana,Big Sky Conference,Public,https://www.montanafootballcamps.com/,https://www.umt.edu/,"Missoula, Montana"
NCAA D1 FBS,University of Mount Olive,Conference Carolinas,Private,https://umotrojans.com/sports/2020/7/10/information-camps-index.aspx,https://umo.edu/,"Mount Olive, North Carolina"
NCAA D1 FBS,University of Nebraska,Big Ten Conference,Public,https://www.mattrhulefootballcamps.com/,https://www.unl.edu/,"Lincoln, Nebraska"
NCAA D1 FBS,University of Nevada – Las Vegas,Mountain West Conference,Public,http://www.rebelfootballcamps.com/About%20Us,https://www.unlv.edu/,"Las Vegas, Nevada"
NCAA D1 FBS,University of Nevada – Reno,Mountain West Conference,Public,https://camps.jumpforward.com/universityofnevadafootballcamps,https://www.unr.edu/,"Reno, Nevada"
NCAA D1 FCS,University of New Hampshire,American East Conference,Public,https://www.unh.edu/youthprograms/course/wildcat-football-evening-camp,https://www.unh.edu/,"Durham, New Hampshire"
NCAA D1 FBS,University of New Mexico,Mountain West Conference,Public,https://golobos.com/summer-camps/,http://www.unm.edu/,"Albuquerque, New Mexico"
NCAA D1 FCS,University of North Alabama,Gulf South Conference,Public,https://www.brentdearmonfootballcamps.com/,https://www.una.edu/,"Florence, Alabama"
NCAA D1 FBS,University of North Carolina at Chapel Hill,Atlantic Coast Conference,Public,https://www.mackbrownfootballcamps.com/one-day-camp.cfm,https://www.unc.edu/,"Chapel Hill, North Carolina"
NCAA D1 FBS,University of North Carolina at Charlotte,Conference USA,Public,https://www.willhealyfootballcamps.com/,https://www.charlotte.edu/,"Charlotte, North Carolina"
NCAA D1 FCS,University of North Dakota,Big Sky Conference,Public,https://fightinghawks.com/sb_output.aspx?form=1119,https://und.edu/,"Grand Forks, North Dakota"
NCAA D1 FBS,University of North Texas,Conference USA,Public,https://www.ericmorrisfootballcamps.com/,https://www.unt.edu/,"Denton, Texas"
NCAA D1 FCS,University of Northern Colorado,Big Sky Conference,Public,https://camps.jumpforward.com/northerncoloradofootballcamps,https://www.unco.edu/,"Greeley, Colorado"
NCAA D1 FCS,University of Northern Iowa,Missouri Valley Conference,Public,https://camps.jumpforward.com/markfarleyfootballcamps,https://uni.edu/,"Cedar Falls, Iowa"
NCAA D1 FBS,University of Notre Dame,Division I-A Independents,Private,https://und.com/sports/footballcamps/,https://www.nd.edu/,"Notre Dame, Indiana"
NCAA D1 FBS,University of Oklahoma,Big 12 Conference,Public,https://www.brentvenablesfootballcamp.com/,https://www.ou.edu/,"Norman, Oklahoma"
NCAA D1 FBS,University of Oregon,Pacific-12 Conference,Public,https://www.oregonfootballcamps.com/,https://www.uoregon.edu/,"Eugene, Oregon"
NCAA D1 FCS,University of Pennsylvania – Penn,Ivy League,Private,https://www.pennfootballcamp.com/Default.aspx?tabid=1429063,https://www.upenn.edu/,"Philadelphia, Pennsylvania"
NCAA D1 FCS,University of Rhode Island,Atlantic 10 Conference,Public,https://rhodeislandfootball.totalcamps.com/About%20Us,https://www.uri.edu/,"Kingston, Rhode Island"
NCAA D1 FCS,University of Richmond,Atlantic 10 Conference,Private,https://richmondspidersfootballcamps.totalcamps.com/About%20Us,https://www.richmond.edu/,Virginia
NCAA D1 FCS,University of San Diego,West Coast Conference,Private,http://www.usdcamps.com/Football_Camps.htm,https://www.sandiego.edu/,"San Diego, California"
NCAA D1 FBS,University of South Alabama,Sun Belt Conference,Public,https://www.jaguarfootballcamps.com/,https://www.southalabama.edu/,"Mobile, Alabama"
NCAA D1 FBS,University of South Carolina,Southeastern Conference,Public,https://camps.jumpforward.com/gamecockfbcamps,https://sc.edu/,"Columbia, South Carolina"
NCAA D1 FCS,University of South Dakota,Missouri Valley Conference,Public,https://football.goyotescamps.com/,https://www.usd.edu/,"Vermillion, South Dakota"
NCAA D1 FBS,University of South Florida,American Athletic Conference,Public,http://www.us2fcamps.com/About%20Us,https://www.usf.edu/,"Tampa, Florida"
NCAA D1 FBS,University of Southern California,Pacific-12 Conference,Private,https://www.rileyfootballcamp.com/,https://www.usc.edu/,"Los Angeles, California"
NCAA D1 FBS,University of Southern Mississippi,Conference USA,Public,https://southernmiss.com/sports/2021/5/4/2021-football-summer-camps.aspx,https://www.usm.edu/,"Hattiesburg, Mississippi"
NCAA D1 FCS,University of St. Thomas – Minnesota,Minnesota Intercollegiate Athletic Conference,Private,https://tommiesports.com/sports/2022/3/3/football-camps.aspx?id=322,https://www.stthomas.edu/,"Saint Paul, Minnesota"
NCAA D1 FBS,University of Tennessee,Southeastern Conference,Public,https://www.tennesseefootballcamp.com/,https://www.utk.edu/,"Knoxville, Tennessee"
NCAA D1 FCS,University of Tennessee – Chattanooga,Southern Conference,Public,https://chattanoogafootballcamps.totalcamps.com/About%20Us,https://www.utc.edu/,"Chattanooga, Tennessee"
NCAA D1 FCS,University of Tennessee – Martin,Ohio Valley Conference,Public,https://utmsports.com/sports/football,https://www.utm.edu/,"Martin, Tennessee"
NCAA D1 FBS,University of Texas – Austin,Big 12 Conference,Public,https://texassports.com/sports/2013/7/28/camps_0728130412.aspx,https://www.utexas.edu/,"Austin, Texas"
NCAA D1 FBS,University of Texas – El Paso,Conference USA,Public,https://utepminers.com/news/2019/5/1/utep-football-camps-coming-this-summer,https://www.utep.edu/,"El Paso, Texas"
NCAA D1 FBS,University of Texas – San Antonio,Conference USA,Public,https://www.utsafootballcamps.com/,https://www.utsa.edu/,"San Antonio, Texas"
NCAA D1 FCS,University of the Incarnate Word,Southland Conference,Private,https://www.contactfootball.com/football/camps/university-of-the-incarnate-word,https://www.uiw.edu/,"San Antonio, Texas"
NCAA D1 FBS,University of Toledo,Mid-American Conference,Public,https://uiwcardinals.com/sports/2013/2/23/FB_0223131721,https://www.uiw.edu/,"Toledo, Ohio"
NCAA D1 FBS,University of Tulsa,Conference USA,Private,https://camps.jumpforward.com/tulsafb,https://utulsa.edu/,"Tulsa, Oklahoma"
NCAA D1 FBS,University of Utah,Pacific-12 Conference,Public,https://www.utahfootballcamps.com/,https://www.utah.edu/,"Salt Lake City, Utah"
NCAA D1 FBS,University of Virginia,Atlantic Coast Conference,Public,https://tonyelliottfootballcamp.com/,https://www.virginia.edu/,"Charlottesville, Virginia"
NCAA D1 FBS,University of Washington,Pacific-12 Conference,Public,https://www.washingtonfootballcamps.com/,http://www.washington.edu/,"Seattle, Washington"
NCAA D1 FBS,University of Wisconsin,Big Ten Conference,Public,http://www.uwcamps.com/sport.aspx?id=1,https://www.wisc.edu/,"Madison, Wisconsin"
NCAA D1 FBS,University of Wyoming,Mountain West Conference,Public,https://wyomingfootballcamps.totalcamps.com/Content/43835,http://www.uwyo.edu/,"Laramie, Wyoming"
NCAA D1 FBS,Utah State University,Mountain West Conference,Public,https://www.blakeandersonfootballcamps.com/About%20Us,https://www.usu.edu/,"Logan, Utah"
NCAA D1 FCS,Utah Tech University (Formerly Dixie State University),Western Athletic Conference,Public,https://utahtechtrailblazers.com/sports/2018/4/27/dixie-state-football-camps.aspx,https://utahtech.edu/,"Saint George, Utah"
NCAA D1 FCS,Valparaiso University,"Missouri Valley Conference, Pioneer Football League",Private,https://camps.jumpforward.com/valpofootball,https://www.valpo.edu/,"Valparaiso, Indiana"
NCAA D1 FBS,Vanderbilt University,Southeastern Conference,Private,http://vanderbiltfootballcamps.com/,https://www.vanderbilt.edu/,"Nashville, Tennessee"
NCAA D1 FCS,Villanova University,Colonial Athletic Association,Private,https://villanovafootballcamps.totalcamps.com/About%20Us,https://www1.villanova.edu/university.html,"Villanova, Pennsylvania"
NCAA D1 FCS,Virginia Military Institute – VMI,Big South Conference,Public,https://wachfootball.totalcamps.com/About%20Us,https://www.vmi.edu/,"Lexington, Virginia"
NCAA D1 FBS,Virginia Tech,Atlantic Coast Conference,Public,https://virginiatechfootball.totalcamps.com/shop/EVENT,https://www.vt.edu/,"Blacksburg, Virginia"
NCAA D1 FCS,Wagner College,Northeast Conference,Private,https://wagnercollegefootball.totalcamps.com/About%20Us,https://wagner.edu/,"Staten Island, New York"
NCAA D1 FCS,Wake Forest University,Atlantic Coast Conference,Private,http://www.coachdaveclawsonfootballcamps.com/About%20Us,https://www.wfu.edu/,"Winston-Salem, North Carolina"
NCAA D1 FCS,Washington State University,Pacific-12 Conference,Public,https://wsufootballcamps.totalcamps.com/About%20Us,https://wsu.edu/,"Pullman, Washington"
NCAA D1 FCS,Weber State University,Big Sky Conference,Public,https://camps.jumpforward.com/WSUfootballcamps,https://www.weber.edu/,"Ogden, Utah"
NCAA D1 FCS,West Virginia University,Big 12 Conference,Public,https://wvufootballcamps.com/,https://www.wvu.edu/,"Morgantown, West Virginia"
NCAA D1 FCS,Western Carolina University,Southern Conference,Public,http://www.wcufootballcamps.com/About%20Us,https://www.wcu.edu/,"Cullowhee, North Carolina"
NCAA D1 FCS,Western Illinois University,Missouri Valley Conference,Public,https://www.leatherneckfootballcamps.com/,http://www.wiu.edu/,"Macomb, Illinois"
NCAA D1 FBS,Western Kentucky University,Conference USA,Public,https://www.wkufootballcamps.com/,https://www.wku.edu/,"Bowling Green, Kentucky"
NCAA D1 FBS,Western Michigan University,Mid-American Conference,Public,https://www.wmufootballcamps.com/,https://wmich.edu/,"Kalamazoo, Michigan"
NCAA D1 FCS,William & Mary,Colonial Athletic Association,Public,https://mikelondonfootballcamps.totalcamps.com/About%20Us,https://www.wm.edu/,"Williamsburg, Virginia"
NCAA D1 FCS,Wofford College,Southern Conference,Private,https://woffordterriers.com/sports/2008/5/5/summer%20camp.aspx,https://www.wofford.edu/,"Spartanburg, South Carolina"
NCAA D1 FCS,Yale University,Ivy League,Private,https://www.elifootballcamps.com/,https://www.yale.edu/,"New Haven, Connecticut"
NCAA D1 FCS,Youngstown State University,Missouri Valley Conference,Public,https://www.penguinsfootballcamps.com/,https://ysu.edu/,"Youngstown, Ohio"
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
 , , , ,,, 
